id,frequency
GO:0031594,393
GO:0019898,392
GO:0005795,391
GO:0042651,391
GO:0098802,388
GO:1902911,387
GO:0031461,385
GO:0005788,384
GO:0030430,365
GO:0097730,364
GO:0055035,361
GO:0030426,359
GO:0000502,355
GO:0030667,352
GO:0030658,351
GO:0030136,350
GO:0009535,350
GO:0005746,348
GO:0005811,347
GO:0055029,344
GO:0034399,343
GO:0070603,339
GO:0009505,338
GO:0009277,335
GO:0042734,335
GO:1902554,333
GO:1902493,333
GO:0031985,332
GO:0099738,330
GO:0031248,330
GO:0001650,328
GO:0022627,328
GO:0030864,323
GO:0009898,323
GO:0031983,322
GO:0097729,322
GO:0000792,319
GO:0060205,317
GO:0043296,317
GO:0034774,315
GO:0030496,315
GO:0031674,314
GO:0005875,312
GO:0005912,310
GO:0034703,309
GO:0055037,305
GO:0140534,302
GO:0010494,298
GO:0000123,298
GO:0000781,298
GO:0071011,294
GO:0005643,292
GO:0005881,291
GO:0000329,290
GO:0098862,285
GO:0030018,284
GO:0044309,284
GO:0030666,280
GO:0005700,278
GO:0043197,276
GO:0005933,274
GO:0030662,271
GO:0033655,268
GO:0120114,267
GO:0071013,266
GO:0042383,265
GO:0043195,263
GO:0030964,262
GO:0005816,257
GO:0030684,255
GO:0042597,254
GO:0016591,253
GO:0000922,253
GO:0070160,251
GO:0036126,247
GO:0048046,245
GO:0000118,242
GO:0000315,242
GO:0005657,241
GO:0045171,240
GO:0030027,239
GO:0005762,239
GO:0097731,236
GO:0005844,235
GO:0020023,234
GO:0000794,233
GO:0030532,232
GO:0045271,232
GO:0033647,231
GO:0033644,230
GO:0005876,230
GO:0045111,227
GO:0033648,227
GO:0048786,227
GO:0099501,225
GO:0034708,224
GO:0030672,224
GO:0031256,224
GO:0097733,223
GO:0034451,222
GO:0005775,218
GO:0030288,216
GO:0005935,215
GO:0043209,215
GO:0016469,215
GO:0005903,214
GO:0005747,214
GO:0000932,214
GO:0043204,213
GO:0099023,212
GO:0035869,210
GO:0001669,207
GO:0019897,206
GO:0005884,204
GO:0031970,202
GO:0005798,201
GO:0030175,200
GO:0030117,198
GO:0048475,198
GO:0032154,198
GO:0097525,197
GO:0090734,196
GO:0000791,195
GO:0005814,194
GO:0005776,192
GO:0009295,191
GO:0016528,191
GO:0043073,191
GO:0044423,187
GO:0001726,186
GO:0045495,185
GO:0005758,183
GO:0099634,183
GO:0005604,181
GO:0020015,178
GO:0020002,177
GO:0005937,177
GO:0001750,177
GO:0044853,177
GO:0043596,176
GO:0101002,175
GO:0017053,174
GO:0000314,174
GO:0005763,173
GO:0009279,172
GO:0044304,172
GO:0030665,171
GO:0060293,170
GO:0042025,168
GO:0005902,166
GO:0098982,163
GO:0034705,162
GO:0043186,161
GO:0035861,160
GO:0032040,159
GO:0035097,159
GO:0031903,156
GO:0005778,156
GO:0043332,156
GO:0042581,155
GO:0070820,153
GO:0044732,152
GO:0031672,151
GO:0005684,151
GO:0005766,149
GO:0042582,149
GO:0016529,149
GO:0016234,149
GO:0055120,148
GO:0070069,145
GO:0070461,145
GO:0032432,145
GO:0072562,144
GO:0005923,143
GO:0098685,143
GO:0060076,142
GO:0070938,140
GO:0016328,140
GO:0008023,140
GO:1903293,139
GO:0008076,139
GO:0000152,138
GO:0042788,138
GO:0051233,138
GO:0019005,137
GO:0016592,137
GO:0005882,135
GO:0045179,135
GO:0030120,134
GO:0031901,134
GO:0005901,134
GO:0008287,133
GO:0036379,133
GO:0032588,133
GO:0045334,131
GO:0042641,131
GO:0098839,131
GO:0030134,130
GO:0009705,127
GO:0044291,127
GO:0045259,127
GO:0022624,125
GO:0005771,125
GO:0001673,125
GO:0016363,125
GO:0000138,124
GO:0031902,124
GO:0005796,123
GO:0005793,122
GO:0042763,121
GO:1904813,121
GO:0030670,120
GO:0005839,119
GO:0098533,118
GO:0032589,118
GO:1902562,118
GO:0031201,116
GO:0031519,116
GO:1905348,115
GO:0020016,114
GO:0030894,113
GO:0097517,113
GO:0001725,113
GO:0042764,112
GO:0005721,112
GO:0031526,111
GO:0005905,111
GO:0060170,111
GO:0031969,110
GO:0005797,110
GO:0005753,109
GO:0000307,108
GO:0031234,107
GO:0044232,107
GO:0005838,107
GO:0005801,106
GO:0043202,106
GO:0098636,105
GO:0030669,104
GO:0030428,104
GO:0099086,103
GO:0000940,103
GO:0101031,103
GO:0005628,102
GO:0042645,102
GO:0031430,102
GO:0097346,101
GO:0005934,101
GO:0030315,99
GO:0000124,99
GO:0030118,98
GO:0005826,98
GO:0005791,98
GO:1905354,97
GO:0061645,97
GO:0030686,97
GO:0042575,96
GO:0031907,95
GO:0005782,95
GO:0030119,94
GO:0098878,94
GO:0030479,94
GO:0016459,94
GO:0005767,94
GO:0000795,93
GO:0000178,93
GO:0020011,93
GO:0000786,93
GO:0016605,93
GO:0043601,92
GO:0030660,91
GO:1990752,91
GO:0000407,90
GO:0001917,90
GO:0020036,89
GO:0031091,89
GO:0055038,89
GO:0008328,88
GO:0005705,88
GO:0035579,88
GO:0035578,87
GO:0071782,87
GO:0034704,87
GO:0005581,86
GO:0033176,86
GO:0019028,86
GO:0031312,85
GO:0031261,85
GO:0001533,85
GO:0001411,85
GO:0005921,84
GO:0000137,84
GO:0030286,84
GO:1902555,84
GO:0090406,84
GO:0097542,84
GO:0030990,84
GO:0032587,83
GO:0014704,82
GO:0005918,82
GO:0045169,82
GO:0043190,81
GO:0015030,81
GO:0032156,81
GO:0120111,81
GO:0005669,80
GO:0005865,80
GO:0032421,79
GO:0043198,79
GO:0034518,79
GO:0044295,79
GO:0030137,78
GO:1905360,78
GO:0008180,78
GO:0005892,77
GO:0000131,77
GO:0110085,76
GO:0097546,76
GO:0005871,76
GO:0045293,75
GO:0005637,75
GO:0043189,75
GO:0035267,75
GO:0001891,74
GO:0005879,74
GO:0012507,74
GO:0035371,74
GO:0005680,73
GO:0072687,73
GO:0005685,73
GO:0031143,73
GO:0016514,72
GO:0020003,72
GO:0005818,72
GO:0008305,72
GO:0140445,72
GO:0030446,71
GO:0030981,71
GO:1990023,71
GO:0031045,71
GO:0030125,70
GO:0098799,70
GO:0009524,70
GO:0000803,70
GO:0031011,70
GO:0098576,68
GO:0070971,68
GO:0048787,68
GO:0030140,67
GO:0005665,67
GO:0005732,67
GO:0070821,67
GO:0016327,66
GO:0035838,66
GO:0097038,66
GO:0080008,66
GO:0010369,65
GO:0032010,65
GO:0097526,65
GO:0051285,64
GO:0005849,64
GO:0005942,64
GO:0046540,64
GO:0005834,64
GO:0099091,64
GO:0045277,64
GO:0097225,63
GO:0032806,63
GO:0098686,63
GO:0055028,63
GO:0140220,63
GO:0009528,62
GO:0000421,62
GO:0016581,62
GO:0090545,62
GO:0020007,62
GO:0032420,62
GO:0031977,62
GO:0016471,62
GO:0030992,62
GO:0010287,62
GO:0030131,61
GO:0044298,61
GO:0005852,61
GO:0031093,61
GO:0090665,60
GO:0097386,60
GO:0099522,60
GO:0030687,60
GO:0042646,59
GO:0009706,58
GO:0032590,58
GO:0001674,58
GO:0035580,58
GO:0016235,58
GO:0000930,58
GO:0061174,58
GO:0031463,58
GO:0045239,58
GO:0032391,58
GO:0005640,56
GO:0099092,56
GO:0036452,56
GO:0000235,56
GO:0005686,55
GO:0000176,55
GO:0031082,55
GO:0070822,55
GO:0016028,55
GO:0071162,55
GO:0005891,55
GO:0005742,54
GO:0005790,54
GO:0098644,54
GO:0005847,54
GO:0000974,54
GO:0035577,54
GO:0101003,54
GO:0033178,54
GO:0001772,54
GO:0005703,54
GO:0071014,53
GO:0030445,53
GO:0031097,53
GO:0032541,53
GO:0045273,53
GO:0045172,53
GO:0045275,53
GO:0005750,53
GO:0005832,53
GO:0030867,53
GO:0120119,53
GO:0030014,52
GO:0042644,52
GO:0016010,52
GO:0000145,52
GO:0042555,52
GO:1904724,52
GO:0048770,52
GO:0031160,52
GO:0005927,52
GO:0032809,51
GO:0070847,51
GO:0005885,51
GO:0098688,51
GO:0005751,51
GO:0098554,51
GO:0090571,50
GO:0031010,50
GO:0042470,50
GO:0000935,50
GO:0043194,50
GO:0031941,49
